UYEISYERI_ID_MASK,mcc,district_id
27727976,5691,50
27727980,5691,61
27728035,5541,87
27729240,7538,4
27729446,5944,123
27729881,5691,50
27730675,5942,4
27731574,5541,82
27731684,5541,60
27731829,5541,12
27732213,5912,33
27732282,5732,61
27732292,5732,115
27732519,5541,60
27732524,5541,60
27732530,5541,60
27732531,5541,42
27732598,5499,60
27732717,5541,60
27732857,7538,81
27733667,5691,50
27733727,5691,115
27733915,5541,15
27733977,5541,31
27733994,5541,31
27734027,5541,31
27734550,5541,160
27738680,5411,50
27738688,5411,50
27738698,5411,87
27738717,5411,160
27738898,5691,34
27738901,5912,61
27738916,5691,50
27738917,5691,115
27738920,5691,50
27738921,5691,115
27738930,5691,33
27738942,5691,34
27738945,5691,4
27738976,5691,115
27738983,5691,61
27739060,5411,123
27742527,5541,121
27743387,5541,84
27743411,5541,70
27745064,5541,50
27746016,5541,121
27746095,5541,61
27748784,5541,123
27748811,7538,123
27749417,5541,123
27749470,5541,123
27752596,5541,81
27753537,5541,12
27753538,5541,34
27755194,5541,84
27755217,5541,2
27755229,5541,2
27755562,5541,88
27755636,5541,42
27755675,5691,120
27756920,5541,77
27757454,5541,79
27757547,5411,79
27757746,5541,70
27760701,5541,70
27760718,5541,100
27764253,5541,4
27764308,5541,65
27768240,5541,141
27768559,5541,50
27768560,5541,50
27768878,5541,77
27768901,5541,77
27768991,5541,77
27769221,5541,98
27769299,5541,98
27769411,5541,38
27769457,5541,77
27769691,5541,1
27769793,5942,59
27771445,5732,4
27813498,5411,50
27816476,5977,70
27816570,5541,77
27839509,5691,160
37789758,8062,12
37966781,5691,115
37966787,5691,50
37966788,5691,81
37966797,5691,123
37966798,5691,17
37966814,5691,123
38961414,5691,115
38961653,5611,123
40431479,5941,4
41688508,4722,1
41814476,5541,100
41947547,5732,61
47303498,5691,115
47866514,5411,61
47886329,5712,63
47913342,9399,84
47991559,5691,34
48044564,5977,34
48122512,5691,115
48177564,5411,121
48177574,5732,61
48208491,5499,121
48232334,5411,50
48232380,5411,121
48232381,5411,121
48232382,5411,2
48232383,5411,88
48232386,5541,2
48269416,5950,123
48345545,5541,88
48365337,5045,50
48365613,5541,31
48461566,5411,96
48503555,5411,123
48543463,5977,60
48584548,5691,50
48747329,5411,81
56320432,5411,50
56366361,5812,17
56443400,5691,50
56578354,5541,4
56664507,5541,84
56734461,5499,160
56734495,5942,115
56879533,8999,123
56907379,4722,115
56978453,5541,82
56978545,5541,96
56978564,5541,84
56978693,5541,123
56978887,5541,77
56978960,5541,4
56979003,5541,77
