description,mcc,category_name,description,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6211,Borsa Komisyoncuları/ Aracıları,"Bu MCC altında hisse senedi, tahvil,bono,fon ve emtiaların alım / satımı ile ilgili i_yerleri tarafından tahsil edilen ücretler için kullanılır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6513,Emlakçılar  ve Yöneticiler - Kiralama,"Bu MCC altında emlakçı, komisyoncu ve yöneticiler gibi konut ve ticari mülklerin kiralanması ve yönetilmesi i_i ile i_tigal eden i_yerlerinin tahsil etti_i ücretler gösterilir. Bu ücretler yönetim ücretlerini, emlak kiralama komisyonlarını ve emlak kiralama ödemelerini kapsayabilir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6529,Uzaktan De_er Yükleme - Üye Finans Kurulu_u,"Üye finans kurulu_unda, kartla mevduat hesabının fonlanması veya hesaba elektronik olarak para yüklenmesi. __lemler yüz yüze olmayan (ATM i_lemleri hariç) satı_ i_lemleridir. __leme ait tüm masraflar i_lem tamamlanmadan önce kart hamiline açıkça bildirilmelidir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6530,Uzaktan De_er Yükleme - __yeri,"Herhangi bir i_yerinde, kartla mevduat hesabının fonlanması veya elektronik olarak para yüklenmesi. __lemler yüz yüze olmayan (ATM i_lemleri hariç) satı_ i_lemleridir. belirtilenlerle kısıtlı olmamak kaydıyla, kumar harcamaları(MCC 7995  kullanılmlıdır), videotext i_lemleri (MCC 5967 kullanılmalıdır) , reçeteli ilaç (MCC 5122 veya MCC 5912'den uygun olan seçilmelidir) veya tütünlü mamüllerin (MCC 5993 kullanılmalıdır)  satı_ında kullanılmamalıdır.__leme ait tüm masraflar i_lem tamamlanmadan önce kart hamiline açıkça bildirilmelidir. ",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6531,RFU (Reserved For Future Use),  ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6532,Ödeme Hizmet Sa_layıcısı - Üye Finansal Kurulu_u - Ödeme __lemi,"Bu MCC, ödeme i_lemlerini yapmak için ilgili Uluslararası Kart Kurulu_larına Ödeme Hizmet Sa_layıcıları olarak kayıt edilen üye finansal kurulu_lar için kullanılır. Bu MCC sadece ödeme i_lemlerini tanımlamak üzere kullanılabilir. Ödeme i_lemi, kartla yapılan önceki satı_ i_lemini iptal etmez ve i_leme kart ihraç eden bankalar tarafından otorizasyon verilmelidir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6533,Ödeme Hizmet Sa_layıcısı - __yeri - Ödeme __lemi,"Bu MCC, ödeme i_lemlerini yapmak için Uluslararası Kart Kurulu_larına kayıt edilen i_yerleri için kullanılır. Bu MCC, sadece ödeme i_lemlerini tanımlamak amacıyla kullanılabilir. Ödeme __lemi, kartla yapılan önceki satı_ i_lemini iptal etmez ve i_leme kart ihraç eden bankalar tarafından otorizasyon verilmelidir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6534,Para Transferi  - Üye Finansal Kurulu_u,"Bu MCC üye finansal kurulu_ta yapılan, kart hamilinden farklı bir ki_iye gönderilen ve i_lemin yapıldı_ı üye finansal kurumdan farklı bir lokasyona gönderilen fon transferleri için kullanılır. _nternet i_lemleri vb  yüz yüze olmayan i_lemleri içerir.__leme ba_lı olarak mü_teriden alınacak bir ücret  varsa önceden kart hamiline açıkça belirtilmelidir. __yerlerinden yapılan para transferleri için MCC 4829 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6535,De_er Satı_ı - Üye Finansal Kurulu_u,"Mal veya hizmet alımı için kullanılacak de_erin satı_ı. Birçok i_yerinde kabul edilen hediye çeki satı_ı bu tip i_lemlere örnektir. De_er, kart hamilinin nakit alabilece_i bir hesaba yatırılmamalı, sözkonusu de_er ile mal veya hizmet sa_lanmalıdır. Sadece belli i_yerlerinde kullanılabilen hediye çeklerinin satın alma i_lemleri, o i_yerinin faaliyet alanını en iyi tanımlayan MCC ile belirtilmelidir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6536,MoneySend - Ülke _çi,"Ülke içerisinde yapılan MoneySend i_lemleri için kullanılmaktadır. MasterCard'ın bu hizmeti,kaynak kurumda yer alan onaylı bir hesaptan, alıcı kurumda bir hesaba  gönderilen  fonların  transferidir. Karttan Harta Para Transferi Hizmeti'nden yararlanan üyeler bu MCC'yi kullanmalıdır",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6537,MoneySend - Ülkeler Arası,Ülkeler arasında yapılan MoneySend i_lemleri için kullanılmaktadır. ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6538,MoneySend Fonlama,MoneySend ödeme i_leminin kartla fonlanması durumunda kullanılmalıdır. ,,,,,,,,,,,,,,,,,,,,,,
