27501947,5,10,20,13,12,19,18,18,31,23,28,18
27501948,24,28,27,32,39,45,29,27,20,36,38,40
27501952,40,31,38,46,47,47,47,44,41,30,32,37
27501959,6,3,7,11,12,13,9,9,12,13,18,12
27501964,21,27,19,16,16,24,24,12,12,16,17,11
27501968,16,11,22,10,9,8,3,10,4,3,7,5
27501974,22,16,18,10,19,13,11,12,20,15,25,11
27501984,18,6,14,13,16,28,16,13,13,18,23,30
27501991,16,19,26,12,20,10,16,10,13,5,2,5
27501993,14,11,12,26,17,16,22,6,17,15,20,16
27501994,5,8,16,9,9,24,21,22,24,31,35,23
27501995,7,4,6,7,27,16,20,14,24,29,25,27
27501999,13,15,11,14,8,16,19,5,9,2,5,6
27502000,20,31,34,42,29,36,29,27,24,23,25,18
27502003,29,30,30,42,38,35,28,29,35,29,39,43
27502221,12,5,6,6,7,8,19,12,18,14,4,3
27503901,20,14,22,14,15,9,24,21,18,20,32,20
27505314,7,10,20,26,13,18,19,8,11,6,14,16
27505371,20,5,12,14,26,23,18,17,22,22,20,17
27505903,20,21,17,16,22,16,14,17,14,11,13,14
27508046,205,195,208,168,219,193,174,143,204,214,263,232
27509437,16,13,9,6,8,23,18,17,12,4,2,14
27510633,62,80,65,54,53,76,47,30,37,31,32,41
27510634,31,51,27,28,39,41,36,28,25,23,26,26
27510887,10,7,10,6,13,11,6,12,16,11,9,15
27511223,13,18,26,26,16,22,18,14,21,30,26,20
27511224,9,8,9,7,6,7,6,14,12,15,8,21
27511550,12,15,19,23,25,10,22,19,19,9,16,24
27512859,12,9,7,16,14,10,13,10,17,17,12,15
27512865,15,24,19,24,20,18,30,18,26,25,25,19
27513543,32,16,38,25,26,23,26,26,28,29,31,21
27516468,30,21,26,30,20,7,3,8,7,5,5,6
27518549,44,41,39,10,6,1,2,21,27,19,20,24
27518791,89,86,78,120,105,62,57,59,106,91,97,87
27519085,12,14,11,6,5,13,13,10,5,10,7,11
27520047,37,41,27,32,31,47,50,43,44,35,42,51
27520559,10,3,13,17,11,14,20,20,19,28,41,27
27520562,18,8,10,7,4,6,17,5,12,6,10,14
27520570,8,12,17,7,12,3,4,7,5,17,16,18
27521599,18,12,31,18,17,24,19,25,28,32,31,37
27521640,11,10,14,15,9,11,9,10,10,18,13,12
27522292,9,5,11,5,10,9,8,14,14,15,10,4
27524605,18,33,42,36,2,39,0,40,0,3,0,0
27524945,16,21,19,15,16,30,30,12,16,18,22,18
27525464,17,14,8,13,8,9,6,8,15,12,17,2
27525710,15,13,15,13,15,17,16,12,22,12,21,14
27525711,12,15,21,16,12,15,11,12,6,12,8,10
27525930,467,450,539,421,499,617,433,403,409,416,402,427
27525932,40,18,23,15,32,33,32,23,18,16,12,15
27526550,98,100,71,99,68,73,73,82,68,0,10,0
27526837,26,29,50,42,23,33,16,18,24,25,29,17
27526859,16,12,19,13,17,17,23,15,21,22,11,13
27527830,6,1,0,0,0,39,0,6,30,23,21,11
27528559,16,22,8,15,7,8,15,13,14,13,26,11
27528594,18,6,11,14,12,14,10,7,10,12,13,6
27531011,7,4,11,14,15,6,6,10,5,8,10,6
27531696,42,39,41,39,31,30,34,24,36,39,47,50
27533108,16,10,5,24,18,22,23,13,17,16,31,17
27533111,9,10,11,7,17,14,10,11,8,13,20,1
27533113,6,5,13,9,13,13,16,5,9,15,9,16
27533114,13,12,12,6,6,4,6,7,7,9,10,9
27533119,21,8,11,8,8,10,11,10,11,8,11,9
27533124,13,5,8,11,6,12,10,14,6,8,13,10
27533822,68,49,56,38,40,41,21,0,0,0,0,0
27534961,30,22,25,34,25,21,23,18,31,27,19,18
27535134,12,8,8,7,6,7,5,11,10,10,11,11
27535651,172,186,150,163,170,165,157,125,133,146,165,166
27537295,61,28,39,60,49,40,60,39,35,42,57,49
27537297,128,69,98,109,101,90,88,80,78,99,151,119
27537300,87,31,52,81,51,55,52,43,40,48,59,49
27537302,65,29,42,44,53,29,31,35,27,45,68,57
27537303,35,28,32,26,23,33,27,25,26,27,36,51
27537305,56,49,57,57,47,64,56,49,42,67,73,62
27537307,45,31,43,37,38,39,32,25,19,28,36,41
27537308,39,23,29,29,21,20,26,21,23,42,38,40
27537310,60,41,41,52,31,27,49,43,42,34,59,58
27537311,74,43,68,72,67,66,60,35,48,58,133,102
27538326,20,17,32,12,26,34,24,19,34,47,32,31
27538546,4,9,9,10,5,6,6,7,6,15,18,8
27539331,6,14,14,13,14,10,12,18,7,8,8,10
27539453,80,62,82,64,63,59,61,73,82,75,95,62
27539461,15,8,10,6,12,8,10,10,8,8,16,10
27539494,10,13,7,12,5,17,10,6,4,8,10,8
27543690,214,119,181,160,152,129,129,116,138,160,156,160
27544529,73,47,44,67,53,41,28,33,39,34,32,36
27545982,12,16,15,15,17,12,14,10,18,7,11,9
27550105,12,7,16,11,15,11,13,14,15,7,13,10
27550108,33,23,26,45,29,37,35,35,22,28,28,28
27551572,44,38,43,29,35,42,38,33,38,21,37,21
27551757,99,111,86,91,87,103,67,86,103,91,112,101
27552034,95,92,83,125,95,71,96,61,78,91,94,116
27552479,107,134,132,75,95,169,208,192,230,232,236,203
27552480,75,46,62,44,58,42,39,32,48,48,36,33
27552481,87,103,101,103,97,96,88,95,132,86,106,92
27554085,5,8,9,11,13,16,12,14,14,14,3,6
27555167,19,11,13,17,14,20,9,10,20,18,15,15
27555937,71,71,23,1,0,0,0,0,0,0,0,0
27555998,16,14,22,16,10,23,25,21,24,33,26,22
27557769,10,10,16,10,9,7,7,8,9,13,9,10
27557965,15,7,10,8,5,14,7,8,13,5,13,6
27558265,59,61,62,71,69,51,55,53,84,83,70,67
27558393,93,102,115,83,98,121,105,88,84,102,133,95
27559355,85,80,68,102,107,85,79,72,110,98,101,75
27560993,23,13,11,12,18,11,21,21,17,14,18,23
27561024,26,12,9,9,13,14,10,14,11,18,9,22
27561061,21,7,9,5,8,11,9,4,7,6,10,13
27562066,8,6,8,8,13,7,10,5,13,8,7,8
27562421,81,72,77,77,82,96,79,85,120,74,73,95
