,age_mean,age_median,age_std,education_ent,employment_ent,gender_ent,home_dist_ent,income_mean,income_median,income_std,marital_ent,work_dist_ent
27485896,41.16025641025641,39.0,11.128862095772991,1.4026725872018204,1.2195763448354233,0.6408652559295694,2.358456117781628,4401.223776223776,2500.0,7101.137524844497,0.9793009480524941,1.9510219409978933
27486154,34.916666666666664,33.5,6.035016865877723,0.9647012279034465,0.6931777412262755,0.6791932659915256,2.0094742588660752,10536.85294117647,3375.0,25622.9035460315,0.7332698710809966,2.5124977029502187
27486963,41.91228070175438,41.0,10.845144900820804,1.2565057591302395,1.275295348646668,0.5146531654289291,2.3006469182972817,5469.428571428572,3150.0,7661.138645153195,0.7415071290219398,2.5822235641667795
27488798,40.54774774774775,39.0,9.351488296835795,1.517925130018329,1.2587444999390913,0.3463269404033611,3.3013409472973034,5339.6985768500945,2750.0,8051.381443811169,0.6230990052111671,3.359739631769799
27489179,43.354330708661415,43.0,10.508143145482663,1.5589816889167274,1.3595216309003513,0.4354679466278528,2.609442996737361,3291.672372881356,1725.0,4621.3581043506365,0.5883565790814903,2.616300926407184
27490977,40.160714285714285,39.0,9.56208124225044,1.5900174196386003,1.2270844434886614,0.32114154806519013,2.684205573191959,5037.549903846154,3000.0,9027.605186750023,0.4931501416648756,2.376963918563353
27492378,37.62,35.5,8.578306764086694,1.3209424086086876,1.2033767316425894,0.6899437584583994,1.84120790281043,3008.7391304347825,2500.0,2228.1469274791516,1.2605796924971873,1.9809755840418013
27492384,38.39344262295082,38.0,7.935739176923156,1.650391560972105,1.013650814026801,0.6537945498628333,2.19191862663156,3097.8,2500.0,2429.844389242283,0.7874338988477726,1.9875789956460124
27492396,38.666666666666664,39.0,8.162135875259894,1.3829788632214428,1.0367771003686812,0.669703107035711,3.0340528269896376,3355.4166666666665,2001.5,5613.191267319223,0.9632949690379273,2.7252924922455
27492401,38.144578313253014,37.0,7.54035085248348,1.5221132665889268,1.1131363302670958,0.6542455129998856,2.6993423008946404,3150.423289473684,2000.0,4223.377251492266,1.0237881605767614,2.3817211655297523
27493291,49.65,48.5,11.094213759765422,1.4843373065495533,0.8711332705993318,0.6474466390346323,1.4689457193469035,2555.4375,2000.0,1627.480177810675,0.7999027794271169,1.0790774247673154
27493957,41.704494382022474,40.0,10.497269558878486,1.4571771899920123,1.2552717365797537,0.6550805350693838,2.6711271627421986,3909.493833333334,2500.0,8000.308267240805,0.8121588498853589,2.134865224009258
