UYEISYERI_ID_MASK,mcc,district_id,degree,betweenness,closeness,eigenvector,mcc_diversity,geo_diversity
27544529,5541,77,611,5.31E-05,0.53777447,0.010273843,2.136352267,3.161493619
27545982,5977,50,980,0.000117985,0.563572543,0.015893931,2.312621365,2.626691482
27550105,5732,59,626,4.33E-05,0.538777032,0.011327721,2.464812674,2.849960137
27550108,5732,4,1463,0.000376936,0.601415094,0.021739423,2.400424526,2.794394157
27551572,5541,100,1061,0.000221912,0.569570359,0.016714011,2.295254191,3.258479844
27551757,5541,61,1402,0.000450979,0.596368139,0.020787774,2.322055738,3.10594505
27552034,5541,53,1392,0.000354329,0.595467033,0.021518183,2.308833653,3.348948317
27552479,5541,33,2228,0.001171637,0.672718808,0.033373599,2.37744468,3.300536877
27552480,5541,115,1456,0.000384868,0.600748337,0.023523408,2.395505098,3.23086185
27552481,5541,17,2058,0.00095687,0.65542788,0.03094853,2.333739844,3.345156328
27554085,5411,31,105,2.15E-06,0.505893336,0.001582749,2.166514836,2.368111262
27555167,5691,100,571,3.84E-05,0.535053073,0.009151779,2.319938282,2.834233627
27555937,5541,12,446,2.24E-05,0.5269876,0.007919019,2.377602829,2.891761151
27555998,5499,63,337,1.97E-05,0.519971213,0.005403362,2.191445982,2.5952242
27557769,5941,12,761,7.21E-05,0.547971179,0.01287382,2.27478471,3.024202693
27557965,5977,160,770,5.89E-05,0.548664726,0.012665264,2.369387058,2.537777942
27558265,5541,63,1820,0.000742442,0.632754342,0.027284056,2.358604907,3.161359734
27558393,5541,121,2223,0.0012895,0.67219724,0.031475637,2.296020872,3.382239436
27559355,5411,4,1108,0.000200036,0.573109466,0.017315287,2.3701056,2.840143508
27560993,5691,34,916,0.000115156,0.558922125,0.015402831,2.458294191,3.131958979
27561024,5691,17,1262,0.000322141,0.585020243,0.020248316,2.311093826,3.268781965
27561061,5941,88,598,5.39E-05,0.536908595,0.00917952,2.326654045,2.899883449
27562066,5732,115,837,8.78E-05,0.553286535,0.01517143,2.296113564,3.050555467
27562421,5411,9,700,5.77E-05,0.543778224,0.01249133,2.38894358,2.873942182
27562422,5411,61,746,6.01E-05,0.546934141,0.012239973,2.477452426,2.494409232
27563069,5950,115,866,9.08E-05,0.555342045,0.014969676,2.343406037,2.812480418
27564848,5411,50,188,1.36E-06,0.510841386,0.003456449,2.31520864,1.746000445
27565953,5941,12,1161,0.000215629,0.577153508,0.018846347,2.34558036,3.280237514
27566122,5541,17,1523,0.000437311,0.606378514,0.023827595,2.36641755,3.303820663
27571607,5411,115,75,5.52E-07,0.501910386,0.001330996,1.864449092,1.678915205
27572003,5941,12,909,0.000125043,0.558418137,0.01450169,2.288486596,3.160219116
27572009,5541,77,1799,0.000836489,0.630820722,0.025570348,2.26168071,3.38967145
27572462,5732,33,776,7.15E-05,0.549012158,0.014086791,2.352175988,2.9339672
27574273,5732,160,0,0,0,0,0,0
27574725,5411,121,155,1.33E-06,0.508206331,0.002532699,2.284389954,2.229065878
27578077,5411,59,389,1.65E-05,0.523361101,0.007169632,2.435506998,2.597683875
27578079,5411,17,337,3.31E-05,0.520095981,0.00588637,2.22498725,2.697564246
27580331,5411,2,147,1.36E-06,0.50838513,0.002716868,2.098564097,2.367022714
27582953,5941,88,532,4.32E-05,0.532489866,0.00812422,2.355446624,2.821081888
27583048,5045,63,0,0,0,0,0,0
27584170,5411,33,1157,0.00018081,0.576846307,0.019871642,2.460635033,3.109762736
27584171,5411,115,708,7.73E-05,0.54432446,0.012252821,2.448419426,2.858484993
27586172,5732,31,421,2.30E-05,0.525390862,0.007599075,2.404430691,3.075071941
27587792,5691,61,1291,0.000231229,0.587318791,0.021075779,2.405522203,2.82831384
27589796,5411,50,440,1.91E-05,0.526539536,0.007541959,2.307707245,2.270726043
27590514,5942,61,1473,0.000332589,0.602166968,0.023722742,2.431366265,2.917442569
