UYEISYERI_ID_MASK,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,6m-rev-mean,6m-rev-std
97790399,28.997815,41.056145,10904.84,8338.820000000003,10216.429999999997,12005.669999999996,6922.635659999999,5466.77652928113
97790402,28.89080501,41.04414257,28957.76000000001,25838.040000000023,27493.660000000007,27033.34000000003,18232.122491263344,14130.815709590674
97790403,28.89080501,41.04414257,22163.750000000004,1210.4699999999998,944.16,1039.43,4237.957491263334,8796.700763668428
97790408,28.8806,41.0166,19423.180000000004,16829.539999999997,20408.02,17172.07,12317.117866666667,9608.275261790503
97790420,29.95090962,40.75878192,1073.9399999999998,686.5199999999999,1189.96,900.6400000000001,653.6282819233334,508.1324226833742
97790423,29.21043,40.91237,12924.179999999997,12531.410000000003,16183.829999999993,15670.089999999997,9563.272133333332,7520.694423144719
97790456,29.00182,41.05815,12372.0,6089.13,2321.7300000000005,2483.08,3889.3333283333327,4710.436265997834
97827353,28.89148,41.05746,9478.469999999998,9120.909999999998,10061.999999999993,8629.289999999995,6226.769823333331,4818.867678388572
97827454,28.86361,41.05465,5552.999999999999,7339.15,3538.24,4837.44,3556.291376666666,2991.2595417799066
97827485,28.99090497,41.05516224,1538.7500000000002,1148.41,1700.7499999999998,1803.500000000001,1043.576011201667,812.4014469563735
97893416,29.16388,40.91907,1744.25,1054.36,3871.8600000000015,2921.0300000000016,1610.2638250000007,1557.0887308155916
97893510,28.91969,41.06265,697.7099999999999,853.5300000000002,774.8899999999999,563.9,493.33539,367.69391472691143
97928466,27.965445,41.27076,1281.39,1977.67,1571.51,1335.85,1039.2760341666665,815.9896021624122
97992433,29.12098,41.03757,0.0,0.0,0.0,0.0,11.693091666666668,18.502666139315615
97992570,29.03901,41.00213,10695.39,5204.39,8098.189999999997,6747.830000000001,5135.973523333333,4343.365371544977
98066488,28849.0,40.99248,1903.44,1176.84,1346.7,1059.51,5729.413746666666,11342.42997465498
98115337,29.00090995,41.0787777,828.0799999999998,1674.36,1317.2099999999998,879.0699999999998,794.7999479416666,664.7241413198104
98115338,29.13356,41.0157,254.81,246.5,139.95,575.1800000000001,214.43154333333334,201.372367670876
98115339,29.01562,41.02436,536.46,368.66,555.1199999999999,706.0999999999998,372.72999666666664,282.6283614312597
98115409,29.16232,40.90689,2483.93,2220.53,2837.5299999999997,2693.1099999999988,1717.5282016666667,1319.7109359428107
98115423,29.26323,40.87715,772.6400000000001,514.59,890.9099999999999,525.86,462.35673,361.0843693001396
98115424,29.166965,40.9005,3210.5399999999995,2806.390000000001,2273.49,2456.2800000000007,1802.7945775,1406.2413713845247
98115452,28.90076,41.05156,26008.35,22306.10000000001,18721.570000000003,25115.000000000007,15370.162053333339,12147.49362138165
98115490,28.24522389,41.07560411,1017.14,534.18,467.44,436.45,420.755138,365.8378026134542
98115492,28.850881,41.021042,390.3,494.1,793.43,703.4599999999999,408.5269871666667,323.11154119294434
98115511,28.65761,41.00699,871.3,449.59,260.40000000000003,680.07,388.50410000000005,343.07096657657064
98151532,29.05426018,41.11153231,960.66,684.6700000000001,1142.2,756.9000000000002,602.4326320816666,467.7911810717288
98218424,28.70967049,40.99545561,3601.55,1586.68,5450.990000000001,3889.14,2433.01085435,2227.674649173475
98218484,28.835225,40.97221,647.7,523.65,1164.6,843.4099999999999,541.5279058333333,448.1860229894884
98379351,28.794965,41.107555,287.41,181.55,345.78000000000003,341.99,204.43875333333335,144.10665286551082
98379482,28.98334,41.07992,480.54,915.32,723.01,621.21,468.35720999999995,364.3491334066427
98379483,29.27968542,40.85945098,502.49,696.2999999999998,797.8900000000002,723.4699999999998,465.04818939999996,347.0662954040255
98446480,28.97402,41.02245,67423.4,66690.9,70489.8,75929.89999999998,46767.33274499999,36344.61357138342
98482428,28.87706442,41.01634966,9805.13,14092.989999999998,10733.69,9809.489999999998,7418.532235679999,5932.72162785427
98482541,29.08749301,40.98762881,575.28,931.2,2305.640000000001,1851.9000000000003,955.6825203033336,945.1075630091094
98519437,28.81445244,41.01247633,3850.2,1619.61,2901.12,2103.27,1757.3378214616666,1533.6566449402103
98519453,28.98507,41.0912,41361.58999999999,29232.72999999998,41419.420000000006,31807.53000000001,23981.891044999997,19192.899147725406
98519466,28.98706,41.05688,1096.53,509.04,614.89,880.7399999999997,528.5406566666667,433.9785673843791
98519535,28.85162,40.97753,305.9,274.94,1944.76,1253.8300000000002,641.5431916666666,781.8431445499033
98519566,29.30397,40.94161,450.3399999999999,1156.52,2005.8,1713.08,899.33093,854.1638672478676
98567431,28.81475,41.01082,1282.4600000000005,871.79,2138.46,2258.26,1103.4659283333333,977.1551260797197
98567484,28.81445244,41.01247633,823.21,958.1400000000002,1172.96,532.3399999999999,592.746154795,479.4480728167728
98702536,28.63252187,41.01698922,337.98999999999995,583.82,661.71,482.13000000000005,355.8832518483334,271.2848593403046
98740390,28.93104,41.06329,10010.0,8700.0,4455.0,14442.0,6279.499055,5791.689941776679
98740423,29.10329,40.989432,1440.59,1502.7,1540.33,2820.13,1228.9737870000001,1058.2461229908454
98740508,28.81445244,41.01247633,6494.410000000001,2745.8200000000006,6683.169999999996,3892.0700000000015,3314.216154795,2953.9193904356694
98821339,28.93199763,41.04573723,0.0,831.2999999999998,67.5,1397.0,394.2962891433333,585.991360215899
98878453,29.00666,41.0498,0.0,0.0,0.0,0.0,11.676076666666667,18.48506319405121
98910487,28.87865,41.01962,1667.7000000000005,1167.3,2498.2,2533.2000000000003,1322.7163783333335,1123.1173527804892
98946631,28.82456,41.01332,1376.35,918.55,1502.97,5071.869999999999,1489.9296466666665,1865.6917418683645
99007415,28.90066747,41.05149446,18398.13,13346.379999999996,20982.01,16260.819999999992,11509.548693654999,9235.370171226321
99039513,28.90965601,40.99484152,410.97,545.3100000000001,465.68000000000006,565.6500000000001,342.91908292166664,244.9622348652319
99039514,28.98692,41.05594,1188.39,1229.5700000000002,781.4900000000001,1687.0600000000002,826.0921433333334,676.6044186639645
99039524,28.83481311,40.99306153,1514.0,3103.15,2262.98,1675.1899999999998,1437.5246457733335,1220.8787960568573
99039584,28.81445244,41.01247633,1155.69,861.9400000000002,503.2399999999999,1136.71,621.2344881283333,512.023167804681
99039585,29.30397,40.94161,615.38,327.72,855.56,678.44,424.5575966666667,346.23596311270063
99039593,28.85162,40.97753,511.43,460.04,334.06,467.55,307.151525,219.02317260170057
99123471,29.07720679,41.06032992,726.1899999999998,1300.7799999999995,1151.86,1214.6800000000003,743.9412561183332,583.6864510708306
99229382,28.81445244,41.01247633,1231.25,559.0,1926.88,2535.6600000000003,1053.7694881283335,1030.614110491666
99229515,28.82456,41.01332,1909.74,539.94,1632.8100000000002,924.63,846.1596466666668,795.7697237259366
99229551,28.81445244,41.01247633,362.99,472.99000000000007,435.12,267.69,268.1028214616667,193.75561376636188
99229565,28.82456,41.01332,2032.45,385.55,1323.15,868.0999999999998,779.84798,792.1314352701999
99229594,29.08133,41.09682,16639.69,14998.550000000005,14417.680000000002,18359.090000000004,10747.531358333335,8410.795687582937
99229598,28.81445244,41.01247633,754.5300000000002,417.71,444.75,429.93,352.791154795,276.4714216242243
99263336,28.77977,40.99052,288.6,283.92999999999995,316.16,734.7099999999998,282.1950483333333,256.2679693867375
99263450,29.09009,40.97053,1382.7,80.9,296.0,1240.84,511.7501033333333,628.7924639648005
99263506,29.08136,41.0968,358.21000000000004,277.88,309.62,155.03,195.1530266666667,141.03686990764177
99263573,29.32821,40.91532,11913.93999999999,14904.79,15721.870000000006,15272.909999999996,9647.292254999998,7564.585309449747
99263574,29.32821,40.91532,11986.4,14323.710000000006,11795.510000000002,13871.660000000007,8674.587255000004,6766.257612291481
99302428,29.09228121,40.96968917,1459.62,1055.73,2080.64,3800.4699999999993,1411.0869950633332,1419.3813608918133
99334400,28.81445244,41.01247633,1222.5,1301.7999999999995,3195.6000000000004,1400.7000000000005,1198.4044881283335,1161.7643248858474
99334438,28.98911,41.03146,216090.4799999999,223210.08,225213.25999999995,201529.62999999995,144352.24509499993,112096.04644959499
99334499,28.86989578,41.00727645,493.3,0.0,799.4499999999998,1755.39,519.6695287050001,684.9869776597704
99394379,29.05393,41.17547,3451.249999999999,2391.7300000000005,3218.009999999999,1564.5,1782.6198999999997,1508.0374576529655
99394542,29.09228121,40.96968917,2498.3100000000004,1029.91,3594.4700000000007,2611.7100000000005,1634.0769950633337,1484.9101178647422
99394543,29.16361,41.02069,230.89,185.39,160.43,420.58,177.9123833333333,143.4721448896799
99394582,29.09179,40.96982,513.2099999999999,221.26,277.44,509.85,265.3036016666667,214.22853211111
99394598,29.01431,41.01198,239.69,519.5799999999999,229.76,561.75,270.1343816666667,228.23483535065478
99428508,29.09179,40.96982,412.2799999999999,332.26,489.08,320.59,270.711935,192.43900248524005
99428510,29.09228121,40.96968917,762.2899999999998,611.82,364.33,833.58,440.3469950633333,352.7304187871651
99467349,28.881819,41.00544,3008.0,7937.04,12804.99,7115.0,5155.819543166667,5042.684334698779
99467523,32.2075,40.79282,4718.2300000000005,2262.76,1142.28,2615.32,1801.9317200000003,1791.504021054201
99467715,29.43827,40.79663,6057.45,6837.41,7567.44,1556.4,3681.48915,3516.0705889260416
99501455,29.29834794,40.91288124,382.16,528.75,443.7,729.12,358.9902048633333,276.9104354900564
99543397,29.09179,40.96982,257.89,280.54999999999995,971.2500000000001,275.32,309.1786016666667,344.4763073202291
99543399,28.786476,41.055705,2101.83,3213.54,3671.059999999999,2966.72,2003.8320301666663,1608.2969355117452
99576411,28.86758,41.01527,225.06,222.44000000000003,597.36,312.2,237.82380833333335,208.61158811878545
99576519,28.89583262,41.04964127,3761.9,2390.62,2707.15,497.6,1571.2025789816669,1589.570838553561
99612513,28.97673,41.03317,377.67,302.3,418.84,592.1399999999999,293.49331666666666,221.7070384330367
99612624,29.0041,41.0936,0.0,0.0,0.0,0.0,11.68295,18.498507256289628
99653526,28.88268,41.03712,626.85,971.63,202.35,706.96,429.61830000000003,393.1490037511317
99653577,29.23899892,40.88898497,1050.0,1075.0,825.0,1000.0,670.0213306483333,499.5408545869179
99653578,29.23899892,40.88898497,500.0,500.0,406.0,600.0,346.02133064833333,248.58731285721774
99788365,29.266785,40.982035,1298.66,936.75,1531.96,1002.64,806.7098033333333,634.6744993195086
99788436,28.90459,41.05515,558.1600000000002,309.26,456.2000000000001,907.25,383.47162333333335,334.2524258560226
99896435,28.88255,40.99268,607.1,247.71,230.49,475.74,271.819205,231.76943804871806
99896565,29.08726,41.09505,901.72,373.93,599.56,740.2200000000001,447.6020516666667,363.5298439444977
99930389,28.87051,41.08822,415.23,193.8,139.16,451.74,211.6481216666667,182.84480295609154
100034420,29.20634047,40.91584733,163.65,502.67,373.4,961.64,345.24703129999995,355.24401252029634
100034452,29.00039,41.07877,1912.3000000000004,2046.71,1165.13,580.62,962.4731933333334,892.7442204857202
100034480,28.90885,41.05503,280.99,315.16,481.48,206.05,225.60731333333334,173.02605394547626
100034490,28.97274,41.07073,2291.44,1847.32,2819.2,3144.4500000000003,1695.4089116666667,1360.4999710748498
100119546,29.12436,40.94633,791.04,615.4599999999999,513.05,1195.24,530.810115,449.0707771538912
100208526,28.86882,40.98464,766.2399999999999,650.9599999999999,1066.18,894.7199999999998,574.65891,440.28452219667986
100208609,29.01735,41.110245,0.0,0.0,0.0,0.0,11.6879325,18.506281356529666
100244434,28.83030149,41.03736969,305.84000000000003,387.32,728.58,464.73,326.05627853000004,266.45703168881863
100244443,28.80358,41.05308,913.0,1060.7,694.42,254.52,498.7494433333334,450.70212225957926
100244488,29.12926,40.92362,485.79,220.48,306.06000000000006,189.2,211.93048000000002,171.52772629745294
100297477,28.90076,41.05156,1823.65,965.0100000000001,2455.89,3275.5000000000005,1431.6670533333333,1320.7374258046991
100329421,29.10205,41.02477,1405.84,661.2,4232.45,1282.83,1275.4078033333333,1563.0353117729874
100329427,29.027984,40.98619,397.37000000000006,123.23,335.3,367.4,215.55236233333335,169.8487362219317
100392470,29.25715161,41.00148092,652.4000000000001,706.25,598.98,481.15,418.17310542166666,305.948299936431
100392483,26.89509,39.61337,3521.2000000000003,2941.24,121.54,448.2,1183.1147433333333,1604.314618695016
100537504,29271,40.86738,1852.29,739.49,1715.5000000000005,2532.67,1151.6813966666668,1037.2548366453213
100579368,28.73987,41.18572,3044.21,3760.380000000001,3876.9,1883.32,2105.789265,1753.9299742591834
100579375,28.92021,41.08147,4030.060000000001,4398.099999999999,3455.4199999999987,2415.6399999999994,2394.8702799999996,1946.792917449626
100579376,28.8957,41.06534,1578.33,2029.69,2463.390000000001,1562.1400000000006,1283.9185066666666,1022.8567533883547
100579377,28.98183,41.07708,3277.219999999999,2588.92,2814.889999999999,1456.85,1701.3231516666665,1422.970119432553
100579380,28.9294,41.04834,4771.250000000001,3219.38,2853.029999999999,1269.63,2030.5446233333332,1904.9843955798517
100579382,28.889479,41.177782,2324.88,998.72,1379.7599999999998,508.16,880.2645435000001,885.1902742877094
100579383,28.79516,41.05366,1217.35,1911.01,2509.9800000000005,1006.63,1119.1364700000001,993.4706571645141
100579384,28.67417037,41.03653152,2694.2400000000007,2589.17,1982.27,649.6200000000001,1330.8351169816667,1240.1535805871758
100579386,28.87366,40.98103,1631.8300000000002,1726.4400000000005,1301.16,948.86,946.3574483333333,757.0700734629248
