merchant_id,degree,betweenness,closeness,eigenvector, mcc_diversity, geo_diversity,Shopping,TrvlDest,TrnsHub,AutoSvc,Business,CommSvc,EduInst,Entrtn,FinInst,Hospital,MajHwys,MiscCategory,Parking,ParkRec,RailRds,Restaurant,SecHwys,POI_sum,POI_diversity
27460989,3000,0.001375811,0.554921187,0.057600107,2.386868979,3.420413514,2,2,0,1,8,2,16,0,2,0,0,0,2,0,0,2,44,81,1.483102711
27462199,502,9.77E-05,0.51861733,0.002864442,2.233335651,2.802100893,7,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,42,58,0.884152217
27462954,849,0.000198233,0.533277672,0.004554684,2.433293093,3.225272568,1,0,1,1,3,0,0,0,5,0,33,2,1,0,0,3,36,86,1.426247425
27462956,972,0.000295154,0.537961737,0.004498716,2.35072076,3.183918913,185,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,4,197,0.304805307
27463768,428,4.84E-05,0.514854906,0.003298794,2.363614865,2.920059157,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,28,74,1.03000351
27466285,1168,0.000352329,0.540302115,0.006018885,2.338333413,3.191998948,126,1,1,1,3,6,0,1,10,6,24,0,5,1,0,48,22,255,1.637987523
27467265,2608,0.001324633,0.56097867,0.031471606,2.392744016,3.366035556,135,2,0,11,5,0,2,3,17,0,26,0,3,0,0,47,56,307,1.670651774
27467625,345,3.51E-05,0.51503283,0.001796576,2.418738663,2.910111782,85,2,0,0,0,3,0,0,2,3,0,0,1,2,0,11,4,113,1.007937031
27470944,1349,0.000468575,0.545709752,0.009648306,2.349327287,3.328340454,237,2,0,2,0,3,2,4,15,6,0,0,3,1,0,36,57,368,1.225860379
27470945,875,0.000163949,0.525320174,0.008046987,2.328760941,3.027848633,56,0,0,0,0,1,0,2,6,0,24,0,1,3,0,16,10,119,1.547922273
27471367,1289,0.000284367,0.535384984,0.01443311,2.425523681,2.871342518,35,0,0,10,0,0,0,0,2,2,22,0,2,0,0,8,57,138,1.54526597
27471368,760,0.000137922,0.526929876,0.005347382,2.430573738,2.576809276,35,0,0,10,0,0,0,0,2,2,22,0,2,0,0,8,57,138,1.54526597
27471370,1536,0.000613664,0.549600492,0.010787318,2.364733124,3.348744171,7,0,0,16,1,8,0,0,1,0,27,1,0,0,0,1,43,105,1.555507747
27471371,1943,0.00066702,0.550819268,0.019997224,2.418527926,3.263122787,36,1,0,4,4,3,5,1,4,5,0,2,2,1,0,12,27,107,1.994216741
27472085,1092,0.000231735,0.536412717,0.006710163,2.48101032,3.026358924,21,0,4,2,16,5,2,1,25,0,0,0,8,3,0,24,34,145,2.071670563
27472247,2004,0.001155189,0.561330822,0.018793367,2.318876187,3.372496824,290,2,0,1,19,8,0,5,37,3,32,1,9,1,0,58,63,529,1.563275055
27472871,1219,0.000326758,0.536219717,0.009018391,2.318551934,3.278730371,0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,1,43,117,0.835420676
27474240,1695,0.000511789,0.546309873,0.014473693,2.332794677,3.354385888,17,2,0,0,0,1,0,1,2,4,0,0,1,2,0,3,50,83,1.325278264
27474388,2065,0.000848318,0.555265772,0.025458816,2.341016808,3.334168892,3,0,0,1,0,0,0,0,0,0,30,0,5,1,0,1,77,118,0.975328986
27474390,1212,0.000272229,0.533341286,0.011681116,2.420702298,3.097106682,9,2,0,5,0,1,0,0,0,0,0,0,0,5,0,3,12,37,1.709014903
27480774,559,0.00014249,0.527054108,0.00232076,2.254204352,3.273901656,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,37,0.892670623
27480835,743,0.000117064,0.523046327,0.005063995,2.381871642,2.678169524,430,1,0,1,2,6,3,3,11,7,0,1,3,1,0,47,45,561,0.943433972
27481516,1549,0.000491712,0.545643154,0.013488034,2.340856756,3.340103855,121,0,0,1,0,3,1,0,4,0,0,0,1,0,0,6,16,153,0.819695133
27482156,934,0.000146263,0.524334467,0.010391559,2.292394579,3.025622952,5,0,0,2,0,0,0,0,8,0,23,0,1,0,0,1,9,49,1.484465106
27482158,1686,0.00048114,0.540302115,0.027372783,2.358826941,2.988327251,5,0,2,2,2,0,0,0,0,1,28,1,0,0,0,2,35,78,1.390923244
27482276,739,9.41E-05,0.523291199,0.004456583,2.441376827,2.613650075,132,0,0,4,4,1,4,1,6,4,0,0,8,0,0,29,28,221,1.39341176
27482520,0,0,0,0,0,0,4,0,0,0,8,7,3,2,4,0,0,0,4,2,0,8,21,63,2.023589253
27482643,2066,0.001138767,0.562460687,0.022052785,2.324184677,3.310451548,51,2,0,5,1,1,0,0,13,1,12,1,0,1,0,2,46,136,1.59924598
27485896,1510,0.000350809,0.539324487,0.017779992,2.357147305,2.975864756,113,1,0,4,1,0,6,0,6,4,0,1,0,0,0,12,35,183,1.269364
27486154,922,0.000236973,0.536477082,0.00385558,2.472496957,3.058223592,129,0,0,2,2,4,2,3,0,5,1,0,7,0,0,29,53,237,1.376662214
27486963,766,0.00021817,0.532959828,0.003423519,2.236752566,3.136176362,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,23,43,1.030519855
27488798,3332,0.001689958,0.557272841,0.053566742,2.3500095,3.421213038,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,39,67,0.679608582
27489179,1356,0.000479906,0.545909646,0.009655774,2.375878683,3.376362343,2,0,0,1,0,0,2,0,0,1,30,0,0,0,0,0,18,54,1.084628457
27490977,1173,0.000333156,0.537897016,0.008979173,2.322010271,3.323102846,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17,19,0.409458619
27492378,648,8.15E-05,0.521277836,0.003439368,2.390834387,2.366302413,37,2,0,12,0,3,5,0,2,3,0,0,0,0,0,5,40,109,1.604772999
27492384,985,0.000186457,0.528924642,0.007339788,2.376378732,2.561561797,28,1,0,51,1,1,0,0,5,2,30,0,2,0,0,11,79,211,1.663499074
27492396,1491,0.000546575,0.550073819,0.009116992,2.41670335,3.276256046,239,1,0,1,0,3,1,4,18,4,0,0,3,1,0,31,48,354,1.14936821
27492401,1088,0.000328611,0.539064384,0.005418114,2.36787399,3.118410753,21,0,0,4,1,0,0,2,0,0,51,1,1,0,0,8,45,134,1.470042079
27493291,358,4.90E-05,0.515389049,0.001490767,2.296193908,2.222763683,88,6,0,6,5,4,0,1,7,1,0,3,0,0,0,21,42,184,1.590297587
27493957,2902,0.000985281,0.549262899,0.070556602,2.344918456,3.271362823,127,0,2,16,1,0,1,3,13,0,0,0,0,4,0,28,33,228,1.430085516
27495842,1835,0.00064815,0.550955022,0.020621086,2.430359756,3.131889378,430,6,2,1,23,14,2,43,33,1,0,0,4,2,0,152,21,734,1.364685334
27495910,1025,0.00030504,0.536605857,0.005829573,2.223141199,3.246990945,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,18,24,0.894750482
27497097,972,0.000181235,0.529990517,0.006714143,2.38550451,2.661519606,18,0,0,19,0,1,0,0,0,2,0,2,0,0,0,2,60,104,1.204096774
27497280,1125,0.000190695,0.531313131,0.008679775,2.413069354,2.680707092,127,0,2,16,1,0,1,3,13,0,0,0,0,4,0,28,33,228,1.430085516
27499143,1285,0.000380705,0.539454633,0.011318064,2.3316711,3.288341251,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,15,24,1.174909123
27500565,866,0.000115317,0.52606189,0.006407873,2.449654612,2.569421886,18,0,0,19,0,1,0,0,0,2,0,2,0,0,0,2,60,104,1.204096774
27501177,830,0.000150036,0.528549474,0.004521336,2.347191691,2.552697895,42,0,0,8,1,0,0,0,2,1,20,0,0,1,0,8,55,138,1.507272137
27501709,504,7.46E-05,0.520428355,0.001998604,2.334177456,2.63850623,46,0,0,0,0,0,1,0,3,3,0,0,0,1,0,15,26,95,1.311345934
27501711,390,6.35E-05,0.517956441,0.001333529,2.321469008,2.787751888,11,1,0,2,0,1,7,7,3,0,0,0,0,0,0,5,40,77,1.565830239
27501718,424,6.53E-05,0.517716535,0.001913653,2.328250528,3.010570853,13,1,0,3,2,1,0,0,0,1,16,0,0,1,0,4,20,62,1.742493815
27501720,323,3.08E-05,0.512611786,0.001100757,2.261797567,2.208377887,177,1,0,0,7,11,3,34,5,7,0,0,2,0,0,59,33,339,1.523984974
27501728,545,7.68E-05,0.52054954,0.002477704,2.440096008,2.318556099,121,2,0,1,1,0,1,0,14,3,0,1,0,0,0,15,45,204,1.230668254
27501732,268,1.92E-05,0.508993625,0.001514711,2.159243214,2.601051611,150,2,0,2,0,7,2,2,14,7,30,0,0,3,0,28,10,257,1.490751759
27501734,248,1.95E-05,0.509864295,0.000802962,2.305501082,2.222000424,97,1,1,0,1,1,0,4,23,3,0,0,1,0,0,32,24,188,1.449839904
27501735,432,3.87E-05,0.514144434,0.0020282,2.310916452,2.682606675,256,2,0,1,1,1,0,2,5,0,0,0,3,1,0,22,23,317,0.794231926
27501739,254,2.60E-05,0.509457612,0.00092692,2.241669763,2.438278954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27501740,224,1.87E-05,0.509806157,0.000777878,2.362702653,3.036731032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
27501749,293,3.50E-05,0.512024737,0.001346318,2.287586504,2.251020131,47,0,0,0,1,1,2,4,10,1,0,1,0,0,0,10,16,93,1.540109918
27501751,121,1.31E-05,0.502754976,0.000433053,2.57282856,1.784260416,7,1,0,11,0,2,2,0,1,0,40,0,0,0,0,3,67,134,1.350554514
27501752,360,4.47E-05,0.514973508,0.002152537,2.368849456,2.34805834,27,0,5,0,6,0,0,0,15,0,10,0,0,0,0,7,40,110,1.676766776
27501865,1607,0.000736352,0.554508248,0.012691208,2.319187363,3.318694064,13,0,0,1,0,2,2,0,0,0,0,0,0,0,0,3,18,39,1.318960136
27501905,383,2.93E-05,0.513141283,0.00197569,2.311711171,2.520825913,163,0,8,1,12,1,1,3,24,8,36,2,6,2,0,56,67,390,1.805622935
27501912,374,3.28E-05,0.512788164,0.00238225,2.393770284,2.313674526,27,0,5,0,6,0,0,0,15,0,10,0,0,0,0,7,40,110,1.676766776
27501917,286,2.75E-05,0.511146679,0.001186446,2.365401827,2.430260817,59,0,0,0,0,2,0,1,11,7,0,3,1,3,0,19,11,117,1.592327055
27501918,377,6.99E-05,0.516520333,0.001110655,2.253265543,2.669933793,57,1,0,1,0,1,2,0,8,7,0,1,0,3,0,13,26,120,1.592093339
27501925,269,3.04E-05,0.510446398,0.001219046,2.243198942,2.530197545,9,0,0,1,0,3,2,0,0,3,0,1,0,1,0,0,7,27,1.76345315
27501928,330,4.23E-05,0.513967123,0.001280891,2.272812047,2.613939104,4,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,22,33,1.141750152
27501934,460,6.05E-05,0.518497043,0.002465884,2.303765378,2.538478064,47,0,0,0,0,1,4,0,0,3,0,2,0,1,0,9,21,88,1.353538652
27501937,273,1.56E-05,0.509573741,0.001199057,2.314911772,2.100887601,47,0,0,0,0,1,1,1,1,2,0,1,0,2,0,4,8,68,1.191416003
27501938,436,4.88E-05,0.516460668,0.001933371,2.350970417,2.246492468,57,0,0,1,0,1,1,0,4,2,0,1,0,0,0,5,19,91,1.199025174
27501939,146,8.39E-06,0.505426181,0.000678102,2.239407382,2.062182511,57,0,0,1,0,1,1,0,4,2,0,1,0,0,0,5,19,91,1.199025174
27501940,308,3.53E-05,0.512729358,0.001415324,2.231682738,2.252868593,51,0,0,4,9,1,0,1,12,5,10,0,1,1,0,9,24,128,1.861533863
27501943,483,7.37E-05,0.518136516,0.00235042,2.307257691,2.551128734,183,1,2,0,2,1,0,0,10,0,0,2,0,1,2,21,25,250,1.016205473
27501947,468,8.16E-05,0.521703617,0.001578405,2.367595955,2.830504538,96,3,0,0,6,7,4,7,29,8,0,0,2,4,0,43,37,246,1.840429542
27501948,506,0.000104024,0.520913434,0.001906997,2.295303712,2.790487609,380,2,0,2,17,10,1,6,26,7,20,0,13,2,0,69,73,628,1.442042157
27501952,361,3.85E-05,0.513200184,0.001854314,2.334625759,2.284394747,33,1,0,3,0,0,3,0,0,2,0,2,0,0,0,6,22,72,1.450242469
27501959,368,4.54E-05,0.515151515,0.001440171,2.293280676,2.702934307,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,17,0.659872014
27501964,434,4.91E-05,0.517117742,0.002397916,2.423817156,2.394935296,72,0,0,1,0,3,2,0,0,4,0,0,1,1,0,11,36,131,1.260458399
27501968,206,1.41E-05,0.507895036,0.000947527,2.268518588,2.130962104,65,0,3,1,0,1,0,0,5,0,0,0,1,1,0,5,36,118,1.213633181
27501974,189,1.04E-05,0.507491487,0.000823805,2.329162185,2.098667697,39,0,0,0,0,4,2,1,0,1,0,0,0,2,0,4,40,93,1.260588461
27501984,184,1.48E-05,0.507491487,0.000516301,2.45581209,2.205103919,10,2,0,0,0,0,1,0,0,1,0,3,2,0,0,0,20,39,1.381281595
27501991,566,7.60E-05,0.520004652,0.00275338,2.344557462,2.605605832,88,3,0,25,3,3,0,0,16,0,0,0,0,0,0,29,30,197,1.585670907
27501993,313,3.43E-05,0.513318025,0.001165711,2.392251971,2.739067706,57,3,0,3,0,2,0,3,6,1,0,0,0,2,0,24,38,139,1.564933326
27501994,361,4.26E-05,0.513908046,0.001681672,2.366258893,2.391389345,62,0,0,2,0,1,0,0,3,0,0,3,0,0,0,5,30,106,1.135671066
27501995,371,5.46E-05,0.516878613,0.001268344,2.366835348,2.573882093,18,3,0,0,0,0,2,1,0,6,0,2,0,0,0,8,14,54,1.721798695
27501999,290,3.05E-05,0.511907488,0.001161998,2.220654763,2.950978529,142,0,0,0,0,2,0,0,0,4,0,0,0,2,0,9,37,196,0.862685107
27502000,448,5.38E-05,0.518557179,0.002244063,2.522610274,2.612277963,54,2,0,0,0,0,1,0,0,1,0,1,0,0,0,2,12,73,0.893245646
27502003,466,6.51E-05,0.518256636,0.002280488,2.294754097,2.635178296,19,0,0,2,0,1,0,0,2,1,0,0,0,1,0,3,26,55,1.339637255
27502221,199,1.57E-05,0.508241446,0.000735748,2.210218843,2.219230812,47,2,0,3,0,1,0,2,6,1,0,1,0,1,0,8,49,121,1.447768673
27503901,1070,0.000230575,0.532325277,0.008981243,2.403874013,2.713542957,42,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,28,81,1.12379837
27505314,614,0.000125577,0.521277836,0.003422457,2.347617376,2.959527772,553,2,4,1,3,1,2,1,28,7,0,1,5,1,3,41,28,681,0.843928117
27505371,1277,0.000369303,0.540890394,0.009163592,2.509199827,2.891489464,130,0,2,6,1,0,2,3,13,0,0,0,0,5,0,26,36,224,1.372774695
27505903,1088,0.000338558,0.540759555,0.006382869,2.356391044,3.078073914,65,1,0,1,0,2,3,1,9,2,0,0,3,0,0,20,35,142,1.541557453
27508046,2726,0.000919757,0.547179048,0.07429306,2.310773673,3.407147223,7,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,34,55,1.01237313
27509437,998,0.000140097,0.528050077,0.007154826,2.376724817,2.617373554,127,0,2,16,1,0,1,3,13,0,0,0,0,4,0,28,33,228,1.430085516
27510633,818,0.000156705,0.530430656,0.004750813,2.423122372,2.735447452,83,1,0,1,1,7,2,2,10,0,0,0,1,1,1,13,83,206,1.413838823
27510634,645,0.000131995,0.525196758,0.002933578,2.33976433,2.599378461,2,2,0,1,1,2,2,0,0,3,0,4,0,0,0,0,63,80,0.939480641
27510887,701,0.000193625,0.532388664,0.002340787,2.307748099,3.20705291,230,1,0,0,0,10,0,0,10,1,0,0,2,3,0,30,25,312,0.98659328
27511223,542,9.42E-05,0.521338619,0.002192835,2.448321499,2.668778857,49,0,0,2,8,1,1,0,8,6,0,0,0,0,0,21,44,140,1.609167954
27511224,408,5.47E-05,0.518737673,0.001310416,2.44419441,2.776546436,376,6,3,0,6,13,6,19,31,2,0,0,2,0,0,72,56,592,1.321129009
27511550,194,1.50E-05,0.508472649,0.000629522,2.304571825,2.318421604,37,0,1,6,0,2,0,0,0,0,0,0,0,0,0,21,44,111,1.32052003
27512859,819,0.000153894,0.528736991,0.004762321,2.411624661,2.674611579,41,0,1,0,0,4,6,0,8,0,0,0,1,0,2,3,19,85,1.550719572
27512865,1466,0.00056373,0.550412409,0.008862926,2.415259546,3.335446204,196,0,0,3,1,4,0,0,3,4,0,0,0,1,0,15,22,249,0.855540492
27513543,1090,0.000279353,0.534233481,0.008022158,2.333445332,2.917793017,261,5,0,3,5,2,2,1,16,1,0,1,4,4,0,29,33,367,1.156068295
27516468,523,7.05E-05,0.521217067,0.003015402,2.407806489,2.744446223,142,0,0,3,1,5,0,3,14,4,0,0,1,1,0,22,80,276,1.347127857
27518549,1163,0.000362032,0.540041068,0.008924596,2.399141514,2.945970898,41,0,0,7,0,0,0,0,2,1,20,0,0,1,0,9,61,142,1.45077711
27518791,1277,0.000473002,0.538609806,0.014542567,2.387310257,3.100068333,32,0,0,1,1,0,0,0,9,0,9,1,1,0,0,6,28,88,1.585224606
27519085,861,0.000102204,0.525258459,0.005703179,2.392844222,2.633909072,17,1,0,2,10,1,1,0,17,9,0,1,0,1,0,6,52,118,1.747535045
27520047,464,6.34E-05,0.518737673,0.002043475,2.363546924,2.642190303,28,0,0,0,0,1,1,0,1,1,0,3,0,0,0,2,9,46,1.268665772
27520559,970,0.000210636,0.531818722,0.005442347,2.422710343,2.736846634,135,0,0,0,0,2,1,4,10,1,0,0,1,1,2,26,11,194,1.120213467
27520562,852,0.000171113,0.530493593,0.005060383,2.412278619,2.86878783,35,0,0,7,0,1,1,0,3,2,0,2,0,1,0,1,58,111,1.289416027
27520570,746,0.000160963,0.528362089,0.003132354,2.420398706,3.060640591,10,0,0,6,1,1,1,0,13,0,0,4,1,2,0,8,60,107,1.529385589
27521599,392,6.11E-05,0.516759131,0.001694279,2.376464894,2.491130865,185,1,0,1,4,6,4,3,11,7,0,0,4,0,2,18,47,293,1.342916991
27521640,924,0.000181709,0.529739336,0.006142077,2.427180755,2.854564627,13,0,2,0,0,1,1,0,4,0,0,3,1,1,2,14,27,69,1.757405886
27522292,275,2.44E-05,0.512142039,0.001004882,2.307152825,2.92236329,33,1,0,1,0,5,1,0,0,0,0,0,1,1,0,7,8,58,1.410635382
27524605,14,2.48E-07,0.466360697,7.07E-05,1.809514256,1.611472204,103,1,3,3,0,1,2,0,11,0,1,1,2,0,0,12,16,156,1.285122061
27524945,1184,0.000288605,0.537379808,0.008630265,2.479803286,3.074712576,288,2,4,3,4,3,2,2,26,5,18,0,8,1,0,75,19,460,1.361771266
27525464,662,0.000113938,0.5235363,0.00396134,2.374799019,2.751484965,0,0,6,1,1,0,0,0,0,0,67,0,0,0,0,1,34,110,0.951742001
27525710,903,0.000160329,0.530808501,0.005872119,2.47569511,2.768958688,57,0,0,0,0,0,1,0,0,0,0,5,0,0,0,5,11,79,0.914699126
27525711,844,0.000211336,0.532832797,0.004024979,2.38424586,2.975024845,145,0,6,0,19,4,1,2,34,8,40,1,2,0,0,52,84,398,1.819669822
27525930,2730,0.000766132,0.546510207,0.077725305,2.327461131,3.41803525,48,0,0,2,0,0,0,0,7,0,21,0,2,0,0,5,0,85,1.216842209
27525932,914,0.000280152,0.532642364,0.008779247,2.247241567,3.243224477,48,0,0,2,0,0,0,0,7,0,21,0,2,0,0,5,0,85,1.216842209
27526550,659,0.000111457,0.524519005,0.004386431,2.348190823,3.228620519,225,0,0,3,5,8,2,0,12,3,0,0,2,0,0,32,31,323,1.134167472
27526837,1175,0.000378445,0.537121576,0.013151535,2.300381233,3.246512117,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,23,0.53050963
27526859,293,2.70E-05,0.51220071,0.001091804,2.363721324,2.486520752,25,0,0,0,2,6,6,0,0,2,0,5,0,7,0,3,33,89,1.734762831
27527830,56,1.20E-06,0.497939637,0.000204789,1.912788598,2.388064639,245,1,0,1,0,3,6,2,4,6,0,0,1,1,0,21,20,311,0.905753361
27528559,963,0.000178685,0.531060696,0.005925706,2.413610093,3.005801097,288,2,4,3,4,3,2,2,26,5,18,0,8,1,0,75,19,460,1.361771266
27528594,736,0.000133876,0.525320174,0.005705998,2.306195251,3.043614917,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,23,0.53050963
27531011,604,0.00011196,0.523291199,0.002493426,2.32702131,2.834621413,351,3,0,0,9,4,4,3,19,8,0,0,7,2,0,44,56,510,1.187146821
27531696,1425,0.000398588,0.543190378,0.014183681,2.373291427,3.124117292,301,2,0,1,20,9,0,6,42,7,44,1,10,1,0,60,71,575,1.62721988
27533108,1059,0.000144582,0.529049817,0.009206304,2.467261534,2.724968617,53,1,0,0,1,1,0,0,9,0,0,0,0,0,0,9,24,98,1.255898032
27533111,997,0.000216554,0.533978263,0.00524735,2.395214904,3.067698502,48,0,2,2,2,3,1,0,22,0,0,0,1,0,2,8,36,127,1.629196449
27533113,875,0.000154178,0.529927699,0.005193368,2.450404707,2.918852758,516,5,0,0,24,5,3,6,34,5,0,0,8,3,0,66,46,721,1.12999463
27533114,826,0.000169507,0.530808501,0.00440357,2.390626915,3.149926905,1,0,0,7,0,0,2,0,0,0,0,0,0,0,2,0,43,55,0.768686554
27533119,666,7.92E-05,0.520307227,0.004571913,2.467932411,3.025930948,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0
27533124,791,0.000152831,0.530556544,0.003608757,2.395169017,2.926306966,163,0,8,1,12,1,1,3,24,8,36,2,6,2,0,56,67,390,1.805622935
27533822,764,0.000132455,0.525814418,0.004967337,2.319254092,3.017806073,62,0,0,5,0,3,3,0,3,7,0,0,0,0,0,9,66,158,1.368097329
27534961,792,0.000190712,0.529488394,0.004896923,2.332429698,3.043700076,15,0,0,5,0,2,0,0,1,0,0,0,0,0,0,3,17,43,1.400393124
27535134,660,8.76E-05,0.521703617,0.004118593,2.361853874,3.007403251,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,16,25,0.778997749
27535651,1493,0.000486865,0.545643154,0.013698603,2.36178137,3.251966933,5,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,64,75,0.642794763
27537295,1370,0.000392179,0.540759555,0.014149627,2.404521847,3.164588996,67,3,2,1,0,4,2,1,15,2,13,0,3,1,0,32,32,178,1.845927751
27537297,2170,0.000738067,0.547246022,0.028111486,2.366223148,3.317132753,864,5,2,1,43,16,7,8,40,24,0,2,1,1,2,108,21,1145,1.030942897
27537300,1926,0.000982485,0.557968302,0.015668349,2.376218616,3.317999138,263,37,0,0,31,17,7,117,25,3,0,0,4,4,0,88,25,621,1.771379315
27537302,1657,0.000784101,0.556302103,0.011463438,2.270457235,3.359675114,339,0,0,0,1,14,0,1,18,7,0,0,2,4,0,24,33,443,0.955424364
27537303,1159,0.000289398,0.536670268,0.009996629,2.315394319,3.234115751,107,1,0,9,2,0,0,2,3,0,0,0,0,3,0,22,53,202,1.310444062
27537305,1795,0.00047503,0.542333819,0.024292218,2.397694625,3.001082075,5,0,0,1,1,1,0,0,0,0,22,1,0,0,0,6,17,54,1.489626506
27537307,1401,0.000476898,0.545044496,0.010931802,2.411901873,3.172256154,337,1,0,0,16,6,2,3,9,4,0,1,2,2,0,91,62,536,1.217668882
27537308,986,0.000221945,0.530745489,0.008751934,2.424733613,2.832653266,590,1,1,0,4,7,1,5,19,15,0,1,6,0,0,37,18,705,0.764676754
27537310,1591,0.000621027,0.549330385,0.012397924,2.319759827,3.287590251,96,0,0,0,0,2,1,1,0,2,0,0,0,0,0,3,29,134,0.853829121
27537311,1658,0.000530426,0.541676763,0.021033408,2.324556584,3.074540073,305,5,0,0,6,1,2,1,26,1,0,0,7,4,0,32,24,414,1.059844158
27538326,929,0.000218181,0.531881989,0.007419931,2.439919529,3.095577501,11,0,0,1,1,0,2,0,0,2,0,0,0,0,0,4,26,47,1.309613045
27538546,747,0.000148151,0.529300343,0.003331374,2.347484807,3.106596343,244,46,0,0,30,18,12,124,18,1,0,0,1,3,0,121,27,645,1.781461575
27539331,944,0.00015669,0.530241935,0.005267644,2.380650145,2.71478472,39,1,0,4,4,6,0,3,1,1,0,2,5,4,0,10,42,122,1.828592446
27539453,1772,0.000572146,0.544712476,0.029222042,2.28052794,3.339769275,129,0,0,2,0,2,0,1,2,1,0,0,0,1,0,15,18,171,0.909370411
27539461,654,0.000128391,0.522923977,0.003278762,2.298839003,3.025552672,24,1,0,10,1,0,0,1,3,0,0,0,0,0,0,3,19,62,1.516889914
